               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,             0.03623,            0.062283,            0.072481,             0.40629,             0.25373,             0.10718,             0.08775,            0.025142,            0.057372,            0.070991,            0.009109,            0.009109,            0.009109
                  47,            0.037619,            0.072432,            0.071854,             0.54961,             0.28866,             0.12431,            0.098948,            0.028304,            0.057853,             0.07069,           0.0090892,           0.0090892,           0.0090892
                  48,            0.036819,            0.072053,            0.071809,             0.64172,             0.21847,             0.16101,             0.12456,             0.02649,            0.057826,            0.070413,           0.0090694,           0.0090694,           0.0090694
                  49,            0.034962,            0.069111,             0.07145,             0.41872,             0.20919,             0.10876,             0.08103,            0.028316,            0.060658,            0.070211,           0.0090496,           0.0090496,           0.0090496
                  50,             0.03347,             0.06579,            0.071173,             0.45099,             0.25253,             0.11481,            0.085875,             0.03028,            0.062534,            0.069486,           0.0090298,           0.0090298,           0.0090298
                  51,            0.034907,            0.067088,            0.071619,                0.57,             0.24264,             0.14657,             0.11491,              0.0318,            0.059618,            0.069256,             0.00901,             0.00901,             0.00901
                  52,            0.034519,            0.067253,            0.070971,             0.63423,             0.23035,              0.1715,             0.13542,            0.027379,            0.058303,            0.069378,           0.0089902,           0.0089902,           0.0089902
                  53,            0.033347,            0.067166,            0.070884,              0.5784,             0.32676,             0.17841,             0.12534,            0.031559,            0.063848,            0.068619,           0.0089704,           0.0089704,           0.0089704
                  54,            0.034536,            0.067747,            0.070835,             0.59827,             0.24292,                0.17,             0.13189,            0.027449,            0.059173,            0.068648,           0.0089506,           0.0089506,           0.0089506
                  55,            0.034668,            0.067087,            0.070151,             0.61494,             0.24322,             0.19147,             0.13096,            0.029227,            0.058084,            0.067943,           0.0089308,           0.0089308,           0.0089308
                  56,            0.035717,            0.069961,            0.069858,              0.5805,             0.23935,             0.16627,             0.12615,            0.028917,            0.059731,            0.067908,            0.008911,            0.008911,            0.008911
                  57,            0.033513,            0.063181,            0.069772,             0.60401,             0.24006,              0.1895,             0.13544,            0.030567,            0.059478,            0.067705,           0.0088912,           0.0088912,           0.0088912
                  58,            0.035323,            0.063762,             0.06938,             0.61618,             0.20881,             0.17227,             0.13995,             0.02594,            0.056457,            0.067519,           0.0088714,           0.0088714,           0.0088714
                  59,            0.034382,            0.064608,            0.069203,             0.61061,             0.27864,             0.21348,              0.1438,            0.030841,             0.05612,            0.067036,           0.0088516,           0.0088516,           0.0088516
                  60,             0.03459,            0.068866,            0.068988,             0.61544,             0.30614,             0.25273,              0.1851,            0.027256,            0.054964,             0.06676,           0.0088318,           0.0088318,           0.0088318
                  61,            0.032773,            0.057027,            0.068671,             0.64878,             0.29117,             0.27005,             0.20452,            0.027948,            0.055691,            0.066436,            0.008812,            0.008812,            0.008812
                  62,            0.034628,            0.068794,            0.068936,              0.6494,             0.31375,              0.2808,              0.2103,            0.027075,            0.053707,            0.066272,           0.0087922,           0.0087922,           0.0087922
                  63,            0.034264,            0.058976,            0.068709,             0.64064,             0.30734,             0.29115,             0.19038,            0.027255,            0.053702,            0.065771,           0.0087724,           0.0087724,           0.0087724
                  64,            0.032681,            0.064446,            0.068204,             0.64802,             0.33024,             0.30706,             0.22348,            0.029752,            0.054415,            0.065686,           0.0087526,           0.0087526,           0.0087526
                  65,            0.034927,            0.067702,            0.068056,             0.63916,             0.33552,             0.27908,              0.2198,            0.025055,            0.054515,            0.065518,           0.0087328,           0.0087328,           0.0087328
                  66,            0.031519,             0.05887,            0.068187,             0.67652,             0.32342,             0.31809,             0.24907,            0.026551,            0.055334,            0.064957,            0.008713,            0.008713,            0.008713
                  67,            0.033871,            0.063314,            0.067721,             0.68436,             0.30261,             0.30736,             0.24783,            0.026013,            0.055737,            0.064546,           0.0086932,           0.0086932,           0.0086932
                  68,            0.034048,            0.063719,            0.067474,              0.6811,             0.29018,               0.278,             0.17524,            0.032926,            0.061229,            0.064501,           0.0086734,           0.0086734,           0.0086734
                  69,            0.033025,              0.0608,            0.067397,             0.73944,             0.23697,             0.24734,             0.19098,            0.025348,             0.05664,            0.064851,           0.0086536,           0.0086536,           0.0086536
                  70,            0.032582,            0.063527,            0.067336,             0.69497,             0.31468,             0.32993,             0.25624,            0.024704,            0.055354,            0.064049,           0.0086338,           0.0086338,           0.0086338
                  71,            0.032159,            0.062459,            0.066472,             0.70725,             0.28378,             0.29811,              0.2276,            0.026325,            0.056565,             0.06377,            0.008614,            0.008614,            0.008614
                  72,            0.031435,            0.064209,            0.065726,             0.72365,             0.31878,             0.32542,             0.23774,            0.026912,            0.055639,            0.063216,           0.0085942,           0.0085942,           0.0085942
